"timestamp","framerate","ID","Label","Tracking State","Action State","Position","Velocity","Dimensions","Detection Confidence","Camera_Translation","Camera_Orientation"
"1632273680701774086","9.47226","0","Person","OFF","IDLE","-0.0847023 0.127463 -0.531098","0 0 0","0.498827 0.273382 0.498827","62.0149","0 0 0","0 0 0 1"
"1632273680768650086","11.0974","0","Person","OFF","MOVING","-0.105123 0.127452 -0.53128","0.620074 -0.000368287 1.12791e-12","0.499071 0.273528 0.499071","65.2816","0 0 0","0 0 0 1"
"1632273681203526086","28.9855","0","Person","TERMINATE","MOVING","-0.122984 0.123444 -0.508861","-0.216005 -0.00731741 0.257671","0.499252 0.269559 0.499252","50.2757","0 0 0","0 0 0 1"
"1632273683143477086","30.581","1","Person","OFF","IDLE","-0.0863163 0.118531 -0.531004","0.0910938 -0.00751802 -0.181938","0.499755 0.275144 0.499755","65.5515","0 0 0","0 0 0 1"
"1632273683210611086","30.9598","1","Person","OK","IDLE","-0.0817829 0.12032 -0.532847","0.110679 0.0012161 0.00129639","0.500469 0.275282 0.500469","55.0131","0 0 0","0 0 0 1"
"1632273683277330086","32.0513","1","Person","OK","IDLE","-0.0769299 0.121647 -0.533816","0.048881 -0.0128031 -0.00767855","0.501009 0.275382 0.501009","55.0131","0 0 0","0 0 0 1"
"1632273683344114086","29.8507","1","Person","OK","IDLE","-0.0718699 0.122599 -0.538924","0.120863 0.0107124 -0.160586","0.504338 0.275694 0.504338","55.0131","0 0 0","0 0 0 1"
"1632273683444646086","29.8507","1","Person","OK","IDLE","-0.0663871 0.123817 -0.543554","0.0518206 0.00208146 -0.0483771","0.517929 0.276162 0.517929","60.8523","0 0 0","0 0 0 1"
"1632273683511267086","27.248","1","Person","OK","IDLE","-0.0625275 0.123938 -0.540495","0.0387232 -0.00503598 0.0448374","0.534977 0.276507 0.534977","60.8523","0 0 0","0 0 0 1"
"1632273683578302086","27.1739","1","Person","OK","IDLE","-0.0587499 0.124268 -0.537236","0.077677 0.00408594 0.0177231","0.546777 0.276758 0.546778","60.8523","0 0 0","0 0 0 1"
